source,product_id,sku,name,english_name,brand,url,image,num_images,market_price,price,discount_percent,has_voucher,voucher_text,price_min,price_max,rating_average,sold_count,sold_count_30d,comment_count,comment_with_image_count,review_count,star_breakdown,category_path,product_type,tags,stock_quantity,num_variants,promotion_text,announce_number,available,crawl_category_key,crawl_category_name,scraped_at,num_comments_sampled,num_reviews_sampled
hasaki,102959,422208973,Sữa Rửa Mặt CeraVe Sạch Sâu Cho Da Thường Đến Da Dầu 473ml,Foaming Cleanser,CeraVe,https://hasaki.vn/san-pham/sua-rua-mat-cerave-sach-sau-cho-da-thuong-den-da-dau-473ml-102959.html,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-rua-mat-cerave-sach-sau-cho-da-thuong-den-da-dau-473ml_eDt68uXxhPr112EE.png,12,490000,369000,25,True,64.000 ₫,369000,490000,4.9,1397,515290000,625,1,116,"{""5"": 106, ""4"": 10, ""3"": 0, ""2"": 0, ""1"": 0}",Chăm Sóc Da Mặt / Làm Sạch Da / Sữa Rửa Mặt,,,52143,1,Bill Cerave 349K Tặng Sữa Rửa Mặt Cerave 30ml (SL có hạn),Số công bố với Bộ Y Tế : 169170/22/CBMP-QLD,,cham-soc-da-mat-c4,,2026-06-09T08:49:32+07:00,5,5
hasaki,96589,422204884,Combo 2 Nước Tẩy Trang Bí Đao Cocoon Làm Sạch & Giảm Dầu 500ml,Winter Melon Micellar Water,Cocoon,https://hasaki.vn/san-pham/combo-2-nuoc-tay-trang-bi-dao-cocoon-lam-sach-giam-dau-500ml-96589.html,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-2-nuoc-tay-trang-bi-dao-cocoon-lam-sach-giam-dau-500ml_sSwZEW4iB445EbMi.png,8,590000,279000,53,True,16.000 ₫,279000,590000,5,1367,381276000,319,2,57,"{""5"": 56, ""4"": 1, ""3"": 0, ""2"": 0, ""1"": 0}",Chăm Sóc Da Mặt / Làm Sạch Da / Tẩy Trang Mặt,,,12223,1,,,,cham-soc-da-mat-c4,,2026-06-09T08:49:35+07:00,5,5
hasaki,124096,422222531,Combo Cocoon Nước Cân Bằng Sen Hậu Giang 310ml + Nước Tẩy Trang Bí Đao 500ml,Hau Giang Lotus Soothing Toner + Winter Melon Micellar Water,Cocoon,https://hasaki.vn/san-pham/combo-cocoon-nuoc-can-bang-sen-hau-giang-310ml-nuoc-tay-trang-bi-dao-500ml-124096.html,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-combo-cocoon-nuoc-can-bang-sen-hau-giang-310ml-nuoc-tay-trang-bi-dao-500ml-1741320900.jpg,8,590000,259000,56,True,,259000,590000,4.9,1301,336832000,162,3,13,"{""5"": 12, ""4"": 1, ""3"": 0, ""2"": 0, ""1"": 0}",Chăm Sóc Da Mặt / Bộ Chăm Sóc Da Mặt,,,12445,1,,,,cham-soc-da-mat-c4,,2026-06-09T08:49:37+07:00,5,5
hasaki,65994,318900012,Nước Hoa Hồng Klairs Không Mùi Cho Da Nhạy Cảm 180ml,Supple Preparation Unscented Toner,Klairs,https://hasaki.vn/san-pham/nuoc-hoa-hong-khong-mui-klairs-danh-cho-da-nhay-cam-180ml-65994.html,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-nuoc-hoa-hong-khong-mui-klairs-danh-cho-da-nhay-cam-180ml_VkRtvaAzSVYT2XvP.png,10,435000,231000,47,True,,231000,435000,4.8,1399,323076000,642,3,148,"{""5"": 123, ""4"": 25, ""3"": 0, ""2"": 0, ""1"": 0}",Chăm Sóc Da Mặt / Làm Sạch Da / Toner / Nước Cân Bằng Da,,,63898,1,Bill Klairs từ 399K Tặng Nước Hoa Hồng Không Mùi Cho Da Nhạy Cảm 30ml (SL Có Hạn),Số công bố với Bộ Y Tế : 128276/20/CBMP-QLD,,cham-soc-da-mat-c4,,2026-06-09T08:49:39+07:00,5,5
hasaki,9740,200400003,Nước Tẩy Trang Bioderma Dành Cho Da Nhạy Cảm 500ml,Sensibio H2O,Bioderma,https://hasaki.vn/san-pham/nuoc-tay-trang-bioderma-danh-cho-da-nhay-cam-500ml-9740.html,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-nuoc-tay-trang-bioderma-danh-cho-da-nhay-cam-500ml-1769137296.jpg,10,560000,365000,35,True,28.000 ₫,365000,560000,4.9,800,291843000,680,3,228,"{""5"": 209, ""4"": 19, ""3"": 0, ""2"": 0, ""1"": 0}",Chăm Sóc Da Mặt / Làm Sạch Da / Tẩy Trang Mặt,,,26717,1,Hasaki đang bán song song 2 mẫu cũ - mới,Số công bố với Bộ Y Tế : 278237/25/CBMP-QLD,,cham-soc-da-mat-c4,,2026-06-09T08:49:41+07:00,5,5
hasaki,249362,422416653,Sữa Rửa Mặt Cetaphil Dịu Lành Cho Da Nhạy Cảm 473ml (Mới),Gentle Skin Cleanser (New),Cetaphil,https://hasaki.vn/san-pham/sua-rua-mat-cetaphil-diu-lanh-cho-da-nhay-cam-473ml-1-249362.html,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-rua-mat-cetaphil-diu-lanh-cho-da-nhay-cam-473ml-1_c4K9dAgBYbRUkfTC.png,12,433000,346000,20,True,,346000,433000,4.7,823,284603000,142,2,22,"{""5"": 16, ""4"": 6, ""3"": 0, ""2"": 0, ""1"": 0}",Chăm Sóc Da Mặt / Làm Sạch Da / Sữa Rửa Mặt,,,14279,1,Buy 399k Cetaphil Tặng Sữa rửa mặt 59ml (Sl có hạn),,,cham-soc-da-mat-c4,,2026-06-09T08:49:43+07:00,5,5
hasaki,19325,205100137,"Nước Tẩy Trang L'Oreal Tươi Mát Cho Da Dầu, Hỗn Hợp 400ml",Micellar Water 3-in-1 Refreshing Even For Sensitive Skin,L'Oreal,https://hasaki.vn/san-pham/nuoc-tay-trang-tuoi-mat-l-oreal-3-in-1-danh-cho-da-dau-da-hon-hop-400ml-19325.html,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-nuoc-tay-trang-tuoi-mat-l-oreal-3-in-1-danh-cho-da-dau-da-hon-hop-400ml-1748319322.jpg,8,249000,133000,47,True,46.000 ₫,133000,249000,4.8,2043,271688000,1229,0,298,"{""5"": 243, ""4"": 55, ""3"": 0, ""2"": 0, ""1"": 0}",Chăm Sóc Da Mặt / Làm Sạch Da / Tẩy Trang Mặt,,,63781,1,,Số công bố với Bộ Y Tế : 71846/18/CBMP-QLD,,cham-soc-da-mat-c4,,2026-06-09T08:49:46+07:00,5,5
hasaki,107934,422212329,Combo Cocoon Nước Tẩy Trang Bí Đao 500ml + Gel Rửa Mặt Bí Đao 310ml,Winter Melon Micellar Water & Winter Melon Cleanser,Cocoon,https://hasaki.vn/san-pham/combo-cocoon-nuoc-tay-trang-bi-dao-500ml-gel-rua-mat-bi-dao-310ml-107934.html,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-combo-cocoon-nuoc-tay-trang-bi-dao-500ml-gel-rua-mat-bi-dao-310ml-1741599332.jpg,8,590000,259000,56,True,,259000,590000,5,999,258690000,66,0,7,"{""5"": 7, ""4"": 0, ""3"": 0, ""2"": 0, ""1"": 0}",Chăm Sóc Da Mặt / Bộ Chăm Sóc Da Mặt,,,2541,1,,,,cham-soc-da-mat-c4,,2026-06-09T08:49:48+07:00,5,5
hasaki,183033,422230865,"Kem Chống Nắng La Roche-Posay Phổ Rộng, Nâng Tông Kiềm Dầu 50ml",Anthelios XL SPF 50+ PA++++,La Roche-Posay,https://hasaki.vn/san-pham/kem-chong-nang-la-roche-posay-spf-50-bao-ve-da-50ml-183033.html,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-chong-nang-la-roche-posay-spf-50-bao-ve-da-50ml_Vw6bo1pEZuSm4D3y.png,13,590000,420000,29,True,,420000,590000,4.9,614,257482000,141,3,28,"{""5"": 24, ""4"": 4, ""3"": 0, ""2"": 0, ""1"": 0}",Chăm Sóc Da Mặt / Chống Nắng Da Mặt,,,9555,1,Bill La roche-posay 499K Tặng 2 Gel rửa mặt da dầu nhạy cảm 50ml (SL có hạn),,,cham-soc-da-mat-c4,,2026-06-09T08:49:49+07:00,5,5
hasaki,102957,422208972,Sữa Rửa Mặt CeraVe Sạch Sâu Cho Da Thường Đến Da Dầu 236ml,Foaming Cleanser,CeraVe,https://hasaki.vn/san-pham/sua-rua-mat-cerave-sach-sau-cho-da-thuong-den-da-dau-236ml-102957.html,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-rua-mat-cerave-sach-sau-cho-da-thuong-den-da-dau-236ml_YQJo2iQjwMMyVBre.png,14,350000,270000,23,True,53.000 ₫,270000,350000,4.9,930,250831000,625,1,116,"{""5"": 106, ""4"": 10, ""3"": 0, ""2"": 0, ""1"": 0}",Chăm Sóc Da Mặt / Làm Sạch Da / Sữa Rửa Mặt,,,28215,1,Bill Cerave 349K Tặng Sữa Rửa Mặt Cerave 30ml (SL có hạn),Số công bố với Bộ Y Tế : 169170/22/CBMP-QLD,,cham-soc-da-mat-c4,,2026-06-09T08:49:51+07:00,5,5
